:304
1:8
2:8
3:8
4:8
5:8
C1:20
C10:20
C11:20
C12:20
C13:20
C14:20
C15:20
C16:20
C17:20
C2:20
C3:20
C4:20
C5:20
C6:20
C7:20
C8:20
C9:20
G***:101
G***2:1
J1:20
OSC1:20
R1:20
R2:20
R3:20
R4:20
R5:20
R6:20
R7:20
R8:20
R9:20
REF**:8
U1:20
U2:20
U3:20
U4:20
U5:20
kibuzzard-66E06A67:20
kibuzzard-66E06AA7:20
kibuzzard-66E06AC0:20
kibuzzard-67265A85:20
kibuzzard-67265AAD:20
kibuzzard-67265ADF:20
kibuzzard-67265AFB:20
kibuzzard-67265BD8:20
kibuzzard-67596F0F:1
kibuzzard-675970B1:1
kibuzzard-6759710F:1
