Comment,Designator,Footprint,LCSC,Quantity
~,J8,Memory_Board_Castellated_Conn_1.27mm,,1
100K,R15,R0402,,1
100n 10V,C1,C0402,,1
10K0,R42,R0402,,1
100n 10V,C14,C0402,,1
