Designator,Mid X,Mid Y,Rotation,Layer
_158,103.462132,-119.319132,0.0,top
_157,151.612132,-134.407,0.0,top
_156,152.6,-93.264,180.0,top
_155,134.362132,-105.307,0.0,top
_154,151.612132,-119.407,0.0,top
_153,105.437868,-92.107,180.0,top
_152,121.787868,-77.107,180.0,top
_151,153.587868,-105.219132,0.0,top
_150,135.262132,-78.007,0.0,top
_149,136.162132,-119.319132,0.0,top
_148,168.862132,-78.094868,180.0,top
_147,167.962132,-119.407,0.0,top
_146,119.9,-132.35,0.0,top
_145,151.612132,-133.507,0.0,top
_144,155.387868,-92.107,180.0,top
_143,122.687868,-106.207,180.0,top
_142,153.587868,-92.194868,180.0,top
_141,103.55,-79.164,180.0,top
_140,104.537868,-91.119132,0.0,top
_139,135.262132,-91.207,0.0,top
_138,121.787868,-120.307,180.0,top
_137,121.787868,-106.207,180.0,top
_136,136.25,-118.25,0.0,top
_135,119.812132,-106.294868,180.0,top
_134,118.912132,-92.107,0.0,top
_133,150.712132,-120.307,0.0,top
_132,121.787868,-105.307,180.0,top
_131,120.8,-132.35,0.0,top
_130,169.85,-93.264,180.0,top
_129,134.362132,-77.107,0.0,top
_128,119.9,-90.05,0.0,top
_127,152.6,-90.05,0.0,top
_126,135.262132,-119.407,0.0,top
_125,104.537868,-78.094868,180.0,top
_124,153.5,-93.264,180.0,top
_123,139.037868,-119.407,180.0,top
_122,134.362132,-120.307,0.0,top
_121,136.162132,-106.294868,180.0,top
_120,150.712132,-77.107,0.0,top
_119,138.137868,-119.407,180.0,top
_118,104.45,-90.05,0.0,top
_117,155.387868,-119.407,180.0,top
_116,120.887868,-91.119132,0.0,top
_115,119.812132,-120.394868,180.0,top
_114,151.612132,-92.107,0.0,top
_113,150.712132,-92.107,0.0,top
_112,167.062132,-78.007,0.0,top
_111,120.8,-118.25,0.0,top
_110,153.5,-104.15,0.0,top
_109,118.012132,-120.307,0.0,top
_108,167.062132,-134.407,0.0,top
_107,167.962132,-91.207,0.0,top
_106,119.812132,-91.119132,0.0,top
_105,153.587868,-133.419132,0.0,top
_104,135.262132,-105.307,0.0,top
_103,120.8,-93.264,180.0,top
_102,153.5,-79.164,180.0,top
_101,119.812132,-133.419132,0.0,top
_100,137.15,-121.464,180.0,top
_99,118.912132,-119.407,0.0,top
_98,104.45,-121.464,180.0,top
_97,135.262132,-92.107,0.0,top
_96,104.45,-79.164,180.0,top
_95,134.362132,-106.207,0.0,top
_94,151.612132,-120.307,0.0,top
_93,136.162132,-120.394868,180.0,top
_92,152.512132,-119.319132,0.0,top
_91,119.812132,-92.194868,180.0,top
_90,153.587868,-106.294868,180.0,top
_89,137.15,-90.05,0.0,top
_88,120.887868,-77.019132,0.0,top
_87,103.55,-104.15,0.0,top
_86,137.237868,-92.194868,180.0,top
_85,169.85,-107.364,180.0,top
_84,103.55,-90.05,0.0,top
_83,104.537868,-119.319132,0.0,top
_82,138.137868,-134.407,180.0,top
_81,104.537868,-92.194868,180.0,top
_80,134.362132,-78.007,0.0,top
_79,169.85,-132.35,0.0,top
_78,167.062132,-92.107,0.0,top
_77,138.137868,-92.107,180.0,top
_76,103.462132,-92.194868,180.0,top
_75,168.862132,-119.319132,0.0,top
_74,154.487868,-92.107,180.0,top
_73,120.8,-107.364,180.0,top
_72,155.387868,-106.207,180.0,top
_71,118.912132,-106.207,0.0,top
_70,139.037868,-78.007,180.0,top
_69,152.512132,-77.019132,0.0,top
_68,168.95,-107.364,180.0,top
_67,105.437868,-120.307,180.0,top
_66,139.037868,-92.107,180.0,top
_65,106.337868,-134.407,180.0,top
_64,167.062132,-91.207,0.0,top
_63,118.912132,-134.407,0.0,top
_62,152.512132,-133.419132,0.0,top
_61,167.962132,-105.307,0.0,top
_60,168.95,-90.05,0.0,top
_59,119.9,-93.264,180.0,top
_58,168.95,-118.25,0.0,top
_57,106.337868,-120.307,180.0,top
_56,135.262132,-120.307,0.0,top
_55,136.25,-132.35,0.0,top
_54,168.95,-104.15,0.0,top
_53,134.362132,-119.407,0.0,top
_52,167.062132,-133.507,0.0,top
_51,103.462132,-91.119132,0.0,top
_50,120.887868,-133.419132,0.0,top
_49,168.862132,-106.294868,180.0,top
_48,139.037868,-106.207,180.0,top
_47,167.062132,-106.207,0.0,top
_46,122.687868,-134.407,180.0,top
_45,136.25,-121.464,180.0,top
_44,152.512132,-120.394868,180.0,top
_43,153.5,-118.25,0.0,top
_42,152.512132,-92.194868,180.0,top
_41,151.612132,-106.207,0.0,top
_40,154.487868,-119.407,180.0,top
_39,106.337868,-106.207,180.0,top
_38,136.25,-79.164,180.0,top
_37,167.962132,-120.307,0.0,top
_36,104.537868,-120.394868,180.0,top
_35,152.6,-132.35,0.0,top
_34,137.15,-79.164,180.0,top
_33,137.15,-104.15,0.0,top
_32,122.687868,-133.507,180.0,top
_31,119.9,-118.25,0.0,top
_30,155.387868,-77.107,180.0,top
_29,120.887868,-134.494868,180.0,top
_28,168.862132,-92.194868,180.0,top
_27,154.487868,-134.407,180.0,top
_26,137.237868,-91.119132,0.0,top
_25,137.237868,-105.219132,0.0,top
_24,168.95,-121.464,180.0,top
_23,136.25,-90.05,0.0,top
_22,155.387868,-78.007,180.0,top
_21,167.062132,-119.407,0.0,top
_20,151.612132,-77.107,0.0,top
_19,152.512132,-78.094868,180.0,top
_18,150.712132,-106.207,0.0,top
_17,167.962132,-106.207,0.0,top
_16,136.162132,-77.019132,0.0,top
_15,137.15,-93.264,180.0,top
_14,103.55,-93.264,180.0,top
_13,151.612132,-105.307,0.0,top
_12,135.262132,-133.507,0.0,top
_11,169.85,-90.05,0.0,top
_10,155.387868,-120.307,180.0,top
_9,153.5,-90.05,0.0,top
_8,122.687868,-119.407,180.0,top
_7,136.25,-93.264,180.0,top
_6,106.337868,-119.407,180.0,top
_5,104.45,-118.25,0.0,top
_4,139.037868,-133.507,180.0,top
_3,120.887868,-120.394868,180.0,top
_2,150.712132,-134.407,0.0,top
,103.462132,-105.219132,0.0,top
1_8,106.337868,-135.307,90.0,top
1_7,167.062132,-135.307,90.0,top
1_6,167.062132,-76.207,270.0,top
1_5,106.337868,-76.207,270.0,top
1_4,102.65,-79.164,0.0,top
1_3,102.65,-132.35,0.0,top
1_2,170.75,-132.35,180.0,top
1,170.75,-79.164,180.0,top
2_8,106.337868,-136.207,90.0,top
2_7,167.062132,-136.207,90.0,top
2_6,167.062132,-75.307,270.0,top
2_5,106.337868,-75.307,270.0,top
2_4,101.75,-79.164,0.0,top
2_3,101.75,-132.35,0.0,top
2_2,171.65,-132.35,180.0,top
2,171.65,-79.164,180.0,top
3_12,106.337868,-137.107,90.0,top
3_11,106.337868,-139.807,90.0,top
3_10,167.062132,-137.107,90.0,top
3_9,167.062132,-139.807,90.0,top
3_8,167.062132,-74.407,270.0,top
3_7,167.062132,-71.707,270.0,top
3_6,106.337868,-71.707,270.0,top
3_5,106.337868,-74.407,270.0,top
3_4,100.85,-79.164,0.0,top
3_3,100.85,-132.35,0.0,top
3_2,172.55,-132.35,180.0,top
3,172.55,-79.164,180.0,top
4_8,106.337868,-138.007,90.0,top
4_7,167.062132,-138.007,90.0,top
4_6,167.062132,-73.507,270.0,top
4_5,106.337868,-73.507,270.0,top
4_4,99.95,-79.164,0.0,top
4_3,99.95,-132.35,0.0,top
4_2,173.45,-132.35,180.0,top
4,173.45,-79.164,180.0,top
5_8,106.337868,-138.907,90.0,top
5_7,167.062132,-138.907,90.0,top
5_6,167.062132,-72.607,270.0,top
5_5,106.337868,-72.607,270.0,top
5_4,99.05,-79.164,0.0,top
5_3,99.05,-132.35,0.0,top
5_2,174.35,-132.35,180.0,top
5,174.35,-79.164,180.0,top
C1_16,156.5125,-100.0445,0.0,top
C1_15,107.4625,-100.0445,0.0,top
C1_14,107.4625,-85.9445,0.0,top
C1_13,140.1625,-100.0445,0.0,top
C1_12,156.5125,-85.9445,0.0,top
C1_11,156.5125,-128.2445,0.0,top
C1_10,123.8125,-85.9445,0.0,top
C1_9,123.8125,-128.2445,0.0,top
C1_8,123.8125,-114.1445,0.0,top
C1_7,140.1625,-85.9445,0.0,top
C1_6,156.5125,-114.1445,0.0,top
C1_5,107.4625,-128.2445,0.0,top
C1_4,123.8125,-100.0445,0.0,top
C1_3,140.1625,-114.1445,0.0,top
C1_2,107.4625,-114.1445,0.0,top
C1,140.1625,-128.2445,0.0,top
C10_16,147.0625,-88.0695,90.0,top
C10_15,114.3625,-116.2695,90.0,top
C10_14,130.7125,-116.2695,90.0,top
C10_13,114.3625,-88.0695,90.0,top
C10_12,163.4125,-130.3695,90.0,top
C10_11,130.7125,-102.1695,90.0,top
C10_10,130.7125,-88.0695,90.0,top
C10_9,147.0625,-116.2695,90.0,top
C10_8,114.3625,-102.1695,90.0,top
C10_7,147.0625,-102.1695,90.0,top
C10_6,163.4125,-116.2695,90.0,top
C10_5,147.0625,-130.3695,90.0,top
C10_4,114.3625,-130.3695,90.0,top
C10_3,163.4125,-102.1695,90.0,top
C10_2,130.7125,-130.3695,90.0,top
C10,163.4125,-88.0695,90.0,top
C11_16,111.1625,-95.1195,90.0,top
C11_15,143.8625,-123.3195,90.0,top
C11_14,160.2125,-109.2195,90.0,top
C11_13,160.2125,-95.1195,90.0,top
C11_12,160.2125,-123.3195,90.0,top
C11_11,127.5125,-81.0195,90.0,top
C11_10,127.5125,-123.3195,90.0,top
C11_9,143.8625,-81.0195,90.0,top
C11_8,127.5125,-109.2195,90.0,top
C11_7,111.1625,-123.3195,90.0,top
C11_6,143.8625,-95.1195,90.0,top
C11_5,160.2125,-81.0195,90.0,top
C11_4,111.1625,-81.0195,90.0,top
C11_3,111.1625,-109.2195,90.0,top
C11_2,127.5125,-95.1195,90.0,top
C11,143.8625,-109.2195,90.0,top
C12_16,130.2875,-95.1195,90.0,top
C12_15,113.9375,-123.3195,90.0,top
C12_14,162.9875,-123.3195,90.0,top
C12_13,113.9375,-109.2195,90.0,top
C12_12,146.6375,-95.1195,90.0,top
C12_11,146.6375,-109.2195,90.0,top
C12_10,146.6375,-81.0195,90.0,top
C12_9,130.2875,-81.0195,90.0,top
C12_8,146.6375,-123.3195,90.0,top
C12_7,162.9875,-109.2195,90.0,top
C12_6,130.2875,-123.3195,90.0,top
C12_5,113.9375,-81.0195,90.0,top
C12_4,113.9375,-95.1195,90.0,top
C12_3,162.9875,-81.0195,90.0,top
C12_2,162.9875,-95.1195,90.0,top
C12,130.2875,-109.2195,90.0,top
C13_16,131.2375,-95.1195,90.0,top
C13_15,114.8875,-81.0195,90.0,top
C13_14,147.5875,-109.2195,90.0,top
C13_13,147.5875,-123.3195,90.0,top
C13_12,114.8875,-123.3195,90.0,top
C13_11,163.9375,-81.0195,90.0,top
C13_10,163.9375,-109.2195,90.0,top
C13_9,131.2375,-81.0195,90.0,top
C13_8,163.9375,-95.1195,90.0,top
C13_7,114.8875,-95.1195,90.0,top
C13_6,131.2375,-123.3195,90.0,top
C13_5,163.9375,-123.3195,90.0,top
C13_4,131.2375,-109.2195,90.0,top
C13_3,147.5875,-81.0195,90.0,top
C13_2,147.5875,-95.1195,90.0,top
C13,114.8875,-109.2195,90.0,top
C14_16,128.4375,-123.3195,90.0,top
C14_15,161.1375,-109.2195,90.0,top
C14_14,144.7875,-109.2195,90.0,top
C14_13,144.7875,-95.1195,90.0,top
C14_12,128.4375,-81.0195,90.0,top
C14_11,144.7875,-123.3195,90.0,top
C14_10,112.0875,-123.3195,90.0,top
C14_9,112.0875,-109.2195,90.0,top
C14_8,128.4375,-109.2195,90.0,top
C14_7,161.1375,-81.0195,90.0,top
C14_6,144.7875,-81.0195,90.0,top
C14_5,128.4375,-95.1195,90.0,top
C14_4,112.0875,-95.1195,90.0,top
C14_3,161.1375,-95.1195,90.0,top
C14_2,112.0875,-81.0195,90.0,top
C14,161.1375,-123.3195,90.0,top
C15_16,162.0625,-81.0195,90.0,top
C15_15,129.3625,-109.2195,90.0,top
C15_14,162.0625,-109.2195,90.0,top
C15_13,113.0125,-81.0195,90.0,top
C15_12,162.0625,-95.1195,90.0,top
C15_11,162.0625,-123.3195,90.0,top
C15_10,145.7125,-109.2195,90.0,top
C15_9,145.7125,-95.1195,90.0,top
C15_8,145.7125,-81.0195,90.0,top
C15_7,129.3625,-123.3195,90.0,top
C15_6,129.3625,-81.0195,90.0,top
C15_5,113.0125,-109.2195,90.0,top
C15_4,145.7125,-123.3195,90.0,top
C15_3,129.3625,-95.1195,90.0,top
C15_2,113.0125,-95.1195,90.0,top
C15,113.0125,-123.3195,90.0,top
C16_16,125.0375,-82.7445,180.0,top
C16_15,108.6875,-125.0445,180.0,top
C16_14,157.7375,-82.7445,180.0,top
C16_13,125.0375,-110.9445,180.0,top
C16_12,108.6875,-110.9445,180.0,top
C16_11,125.0375,-125.0445,180.0,top
C16_10,141.3875,-110.9445,180.0,top
C16_9,141.3875,-82.7445,180.0,top
C16_8,141.3875,-125.0445,180.0,top
C16_7,157.7375,-96.8445,180.0,top
C16_6,108.6875,-96.8445,180.0,top
C16_5,125.0375,-96.8445,180.0,top
C16_4,157.7375,-125.0445,180.0,top
C16_3,157.7375,-110.9445,180.0,top
C16_2,141.3875,-96.8445,180.0,top
C16,108.6875,-82.7445,180.0,top
C2_16,156.5125,-116.7195,0.0,top
C2_15,123.8125,-116.7195,0.0,top
C2_14,123.8125,-130.8195,0.0,top
C2_13,140.1625,-88.5195,0.0,top
C2_12,107.4625,-116.7195,0.0,top
C2_11,156.5125,-102.6195,0.0,top
C2_10,156.5125,-130.8195,0.0,top
C2_9,107.4625,-102.6195,0.0,top
C2_8,107.4625,-130.8195,0.0,top
C2_7,123.8125,-88.5195,0.0,top
